,(0  1  2),(0  1  3),(0  1  4),(0  1  5),(0  1  6),(0  2  4),(0  2  5),(0  2  6),(0  2  7),(0  3  6),(0  3  7),(0  4  8),(0  1  2  3),(0  1  2  4),(0  1  2  5),(0  1  2  6),(0  1  2  7),(0  1  3  4),(0  1  3  5),(0  1  3  6),(0  1  3  7),(0  1  4  5),(0  1  4  6),(0  1  4  7),(0  1  4  8),(0  1  5  6),(0  1  5  7),(0  1  5  8),(0  1  6  7),(0  2  3  5),(0  2  3  6),(0  2  3  7),(0  2  4  6),(0  2  4  7),(0  2  4  8),(0  2  5  7),(0  2  5  8),(0  2  6  8),(0  3  4  7),(0  3  5  8),(0  3  6  9),(0  1  2  3  4),(0  1  2  3  5),(0  1  2  3  6),(0  1  2  3  7),(0  1  2  4  5),(0  1  2  4  6),(0  1  2  4  7),(0  1  2  4  8),(0  1  2  5  6),(0  1  2  5  7),(0  1  2  5  8),(0  1  2  6  7),(0  1  2  6  8),(0  1  3  4  6),(0  1  3  4  7),(0  1  3  4  8),(0  1  3  5  6),(0  1  3  5  7),(0  1  3  5  8),(0  1  3  6  7),(0  1  3  6  8),(0  1  3  6  9),(0  1  3  7  8),(0  1  4  5  7),(0  1  4  5  8),(0  1  4  6  8),(0  1  4  6  9),(0  1  4  7  8),(0  2  3  4  6),(0  2  3  4  7),(0  2  3  5  7),(0  2  3  5  8),(0  2  3  6  8),(0  2  4  5  8),(0  2  4  6  8),(0  2  4  6  9),(0  2  4  7  9),(0  3  4  5  8),(0  1  2  3  4  5),(0  1  2  3  4  6),(0  1  2  3  4  7),(0  1  2  3  4  8),(0  1  2  3  5  6),(0  1  2  3  5  7),(0  1  2  3  5  8),(0  1  2  3  6  7),(0  1  2  3  6  8),(0  1  2  3  6  9),(0  1  2  3  7  8),(0  1  2  4  5  6),(0  1  2  4  5  7),(0  1  2  4  5  8),(0  1  2  4  6  7),(0  1  2  4  6  8),(0  1  2  4  6  9),(0  1  2  4  7  8),(0  1  2  4  7  9),(0  1  2  5  6  7),(0  1  2  5  6  8),(0  1  2  5  6  9),(0  1  2  5  7  8),(0  1  2  5  7  9),(0  1  2  6  7  8),(0  1  3  4  5  7),(0  1  3  4  5  8),(0  1  3  4  6  7),(0  1  3  4  6  8),(0  1  3  4  6  9),(0  1  3  4  7  8),(0  1  3  4  7  9),(0  1  3  5  6  8),(0  1  3  5  6  9),(0  1  3  5  7  8),(0  1  3  5  7  9),(0  1  3  5  8  9),(0  1  3  6  7  9),(0  1  3  6  8  9),(0  1  4  5  6  8),(0  1  4  5  8  9),(0  1  4  6  7  9),(0  2  3  4  5  7),(0  2  3  4  5  8),(0  2  3  4  6  8),(0  2  3  4  6  9),(0  2  3  5  6  8),(0  2  3  5  7  9),(0  2  4  5  7  9),(0  2  4  6  8  10),(0  1  2  3  4  5  6),(0  1  2  3  4  5  7),(0  1  2  3  4  5  8),(0  1  2  3  4  6  7),(0  1  2  3  4  6  8),(0  1  2  3  4  6  9),(0  1  2  3  4  7  8),(0  1  2  3  4  7  9),(0  1  2  3  5  6  7),(0  1  2  3  5  6  8),(0  1  2  3  5  6  9),(0  1  2  3  5  7  8),(0  1  2  3  5  7  9),(0  1  2  3  5  8  9),(0  1  2  3  6  7  8),(0  1  2  3  6  7  9),(0  1  2  4  5  6  8),(0  1  2  4  5  6  9),(0  1  2  4  5  7  8),(0  1  2  4  5  7  9),(0  1  2  4  5  8  9),(0  1  2  4  6  7  8),(0  1  2  4  6  7  9),(0  1  2  4  6  8  9),(0  1  2  4  6  8  10),(0  1  2  4  7  8  9),(0  1  2  5  6  8  9),(0  1  3  4  5  6  8),(0  1  3  4  5  7  8),(0  1  3  4  5  7  9),(0  1  3  4  6  7  9),(0  1  3  4  6  8  9),(0  1  3  4  6  8  10),(0  1  3  5  6  7  9),(0  1  3  5  6  8  10),(0  2  3  4  5  6  8),(0  2  3  4  5  7  9),(0  2  3  4  6  7  9),(0  1  2  3  4  5  6  7),(0  1  2  3  4  5  6  8),(0  1  2  3  4  5  6  9),(0  1  2  3  4  5  7  8),(0  1  2  3  4  5  7  9),(0  1  2  3  4  5  8  9),(0  1  2  3  4  6  7  8),(0  1  2  3  4  6  7  9),(0  1  2  3  4  6  8  9),(0  1  2  3  4  6  8  10),(0  1  2  3  4  7  8  9),(0  1  2  3  5  6  7  8),(0  1  2  3  5  6  7  9),(0  1  2  3  5  6  8  9),(0  1  2  3  5  6  8  10),(0  1  2  3  5  7  8  9),(0  1  2  3  5  7  8  10),(0  1  2  3  6  7  8  9),(0  1  2  4  5  6  7  9),(0  1  2  4  5  6  8  9),(0  1  2  4  5  6  8  10),(0  1  2  4  5  7  8  9),(0  1  2  4  5  7  8  10),(0  1  2  4  5  7  9  10),(0  1  2  4  6  7  8  10),(0  1  3  4  5  6  7  9),(0  1  3  4  5  6  8  9),(0  1  3  4  6  7  9  10),(0  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  7  8),(0  1  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  8  9),(0  1  2  3  4  5  6  8  10),(0  1  2  3  4  5  7  8  9),(0  1  2  3  4  5  7  8  10),(0  1  2  3  4  6  7  8  9),(0  1  2  3  4  6  7  8  10),(0  1  2  3  4  6  7  9  10),(0  1  2  3  5  6  7  8  10),(0  1  2  3  5  6  7  9  10),(0  1  2  4  5  6  8  9  10),(0  1  2  3  4  5  6  7  8  9),(0  1  2  3  4  5  6  7  8  10),(0  1  2  3  4  5  6  7  9  10),(0  1  2  3  4  5  6  8  9  10),(0  1  2  3  4  5  7  8  9  10),(0  1  2  3  4  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10  11)
12/iv,2.64,1.64,3.28,1.43,3.14,0.43,1.00,1.64,0.00,0.43,0.43,0.64,0.79,0.93,1.28,1.50,0.64,0.50,0.93,0.64,0.93,0.50,1.21,0.64,1.43,0.21,0.64,0.14,0.00,0.36,1.21,0.07,0.14,0.14,0.50,0.21,0.07,0.57,0.00,0.14,0.07,1.28,0.29,0.93,0.36,1.00,0.64,0.21,1.57,1.07,0.57,0.64,1.21,0.36,0.64,0.71,0.21,0.00,0.00,0.29,0.50,0.07,0.14,0.00,0.36,0.57,0.21,0.14,0.14,0.07,0.29,0.29,0.21,0.64,0.50,0.43,0.00,0.14,0.86,1.00,0.57,0.29,0.50,0.07,0.43,0.07,1.00,0.07,0.21,0.00,0.79,0.07,0.71,0.07,0.86,0.07,0.21,0.21,0.50,0.57,0.00,0.07,0.93,0.14,0.29,1.07,0.29,0.21,0.64,0.21,0.07,0.00,0.00,0.00,0.21,0.50,0.29,0.07,1.43,0.29,0.00,0.00,0.14,1.14,0.00,0.07,0.00,0.36,0.00,0.43,0.36,0.07,0.71,0.43,0.21,1.07,0.07,0.36,0.00,0.00,0.00,0.50,0.00,0.36,0.36,3.71,0.00,0.29,1.57,0.93,0.00,0.00,0.93,0.36,0.50,0.00,0.29,0.29,0.71,0.00,0.00,0.00,0.07,0.07,0.36,0.21,0.64,1.07,0.57,0.07,0.00,0.57,0.57,1.50,0.00,0.14,0.36,0.00,0.00,0.79,0.00,0.50,0.14,0.00,0.43,0.29,0.64,2.28,0.00,0.43,0.07,0.00,0.36,0.00,0.00,0.07,0.36,1.00,0.21,0.36,0.29,0.00,0.21,1.36,0.00,0.00,0.00,0.64,0.21,0.36,0.07,0.71,0.00,0.07,0.07,0.00
12/ii,5.53,2.86,3.93,2.00,4.19,0.67,0.67,1.60,0.47,1.40,0.93,0.20,2.13,2.93,1.73,3.06,1.07,1.00,0.53,0.53,0.67,0.67,0.87,0.87,0.47,1.26,0.27,0.40,0.33,0.07,1.53,0.20,0.33,0.27,0.33,0.33,0.33,0.07,0.47,0.00,0.33,1.93,0.53,2.73,1.20,0.93,0.80,0.40,0.60,0.87,0.40,0.67,1.07,0.47,0.33,0.47,0.00,0.40,0.07,0.40,0.53,0.00,0.53,0.27,0.40,0.73,0.20,0.20,0.00,0.27,0.13,0.13,0.07,0.53,0.07,0.07,0.07,0.00,0.33,0.53,1.20,0.73,0.13,0.67,0.33,0.47,0.87,0.33,0.67,0.67,0.33,0.20,0.87,0.73,0.27,0.33,0.07,0.00,0.13,0.33,0.20,0.33,0.13,0.87,0.07,0.40,0.33,0.13,0.27,0.07,0.33,0.13,0.00,0.00,0.20,0.47,0.20,0.00,0.00,0.27,0.27,0.00,0.33,0.33,0.00,0.13,0.07,0.00,0.00,0.20,0.13,0.53,0.27,0.13,0.47,0.33,0.00,0.33,0.27,0.27,0.53,0.40,0.27,1.60,0.60,0.27,0.07,0.00,0.27,0.87,0.67,0.00,0.00,0.27,0.00,0.07,0.27,0.20,0.53,0.80,0.07,0.33,0.00,0.00,0.07,0.07,0.00,0.00,0.33,0.27,0.00,0.80,0.13,0.27,0.33,0.20,0.13,0.00,0.20,0.27,0.33,0.40,0.27,0.00,0.67,0.07,0.13,0.20,0.00,0.07,0.13,0.00,0.00,0.13,0.00,0.00,0.00,0.33,0.13,0.33,0.13,0.00,0.53,0.00,0.00,0.13,0.20,0.07,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00
13/i,6.82,4.36,4.50,3.38,4.78,1.34,1.05,3.45,0.49,0.35,0.70,0.28,1.83,1.55,2.11,1.83,1.97,1.62,0.84,0.35,0.70,1.27,0.91,1.05,0.49,0.91,0.84,0.14,0.84,0.07,0.63,0.84,0.35,0.21,0.56,0.07,0.28,0.14,0.56,0.14,0.00,0.91,0.49,0.91,1.90,1.97,0.35,0.21,0.14,1.27,0.49,0.42,1.41,0.21,0.56,0.63,0.07,0.35,0.07,0.35,0.28,0.07,0.00,0.21,0.91,0.56,0.28,0.07,0.28,0.49,0.28,0.21,0.00,0.28,0.21,0.49,0.07,0.00,0.00,0.28,0.49,0.35,0.07,0.98,0.07,0.28,0.98,0.49,0.00,0.63,1.41,0.49,0.21,0.21,0.63,0.00,0.07,0.14,0.42,0.14,0.77,0.07,0.00,0.35,0.56,0.28,0.07,0.21,0.00,0.63,0.00,0.21,0.07,0.00,0.00,0.42,0.00,0.07,0.14,0.00,0.00,0.21,0.00,0.42,0.00,0.28,0.07,0.14,0.35,0.14,0.21,0.00,0.28,0.28,0.00,1.20,0.07,1.27,0.42,0.21,0.00,0.00,0.00,1.69,0.00,0.35,0.00,0.07,0.21,0.07,0.00,0.00,0.00,0.28,0.07,0.28,0.00,0.49,0.00,0.00,0.21,0.00,0.07,0.49,0.00,0.49,0.28,0.28,0.07,0.00,0.42,1.27,0.00,0.07,0.21,0.21,0.00,0.56,0.21,0.42,0.00,0.00,0.35,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.35,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14/iv,14.05,1.60,2.57,1.29,2.00,0.16,0.24,0.40,0.07,0.16,0.24,0.04,4.15,1.82,1.73,2.11,0.47,1.04,0.16,0.36,0.29,0.80,0.47,0.47,0.24,0.64,0.18,0.04,0.62,0.09,0.18,0.04,0.02,0.04,0.00,0.00,0.07,0.02,0.13,0.00,0.00,4.06,1.22,1.11,0.98,1.98,0.33,0.29,0.51,1.42,0.16,2.31,1.02,0.11,0.42,0.40,0.04,0.02,0.02,0.00,0.49,0.02,0.22,0.09,0.04,0.11,0.00,0.02,0.09,0.09,0.13,0.02,0.00,0.09,0.00,0.00,0.00,0.00,0.07,3.97,2.06,0.89,0.47,1.64,0.53,0.38,1.38,0.09,0.62,0.27,0.51,0.13,0.62,0.16,0.07,0.00,0.38,0.07,0.22,0.24,0.11,0.13,0.00,0.22,0.36,0.09,0.02,0.00,0.00,0.20,0.07,0.00,0.07,0.00,0.00,0.00,0.07,0.00,0.20,0.02,0.00,0.00,0.22,0.11,0.04,0.00,0.00,0.00,0.00,2.09,1.22,0.73,0.78,0.13,0.11,0.75,0.38,1.09,0.00,0.27,0.22,0.00,0.29,0.44,0.11,0.27,0.04,0.38,0.00,0.24,0.11,0.00,0.07,0.00,0.20,0.18,0.00,0.36,0.02,0.00,0.07,0.00,0.22,0.00,0.09,0.00,0.00,0.80,0.75,0.36,0.16,0.09,0.53,1.00,0.13,0.09,0.00,0.33,0.40,0.16,0.02,0.00,0.07,0.00,0.11,0.09,0.53,0.04,0.02,0.02,0.18,0.18,0.49,0.04,0.00,0.00,1.55,0.55,0.93,0.09,0.84,0.00,0.42,0.27,0.07,0.02,0.07,0.02,1.13,0.11,0.18,0.95,0.00,0.11,1.64,0.07
13/iii,5.08,2.48,5.08,2.97,3.51,0.38,0.32,0.59,0.05,0.43,0.70,0.11,2.05,2.05,1.35,2.65,0.43,1.19,0.43,0.32,0.43,0.38,0.27,1.19,1.89,1.19,0.38,0.32,0.97,0.05,0.22,0.05,0.05,0.11,0.11,0.00,0.16,0.16,0.49,0.00,0.00,2.21,0.59,0.70,1.35,0.65,0.43,0.54,0.38,1.08,0.70,0.00,2.38,0.05,0.22,1.13,0.86,0.11,0.00,0.00,0.70,0.00,0.05,0.05,0.00,0.86,0.11,0.05,3.83,0.43,0.16,0.05,0.00,0.38,0.05,0.22,0.00,0.00,0.22,1.67,1.13,0.59,0.59,0.22,0.22,0.00,0.54,0.00,0.00,0.05,0.16,0.27,0.11,0.22,0.00,0.00,0.86,0.11,1.40,0.05,0.38,0.27,0.00,0.22,0.05,1.13,0.27,0.05,0.05,1.51,0.16,0.05,0.00,0.00,0.00,0.00,0.11,0.00,0.27,0.00,0.05,0.05,0.11,1.51,0.00,0.00,0.00,0.00,0.00,0.43,0.92,0.81,0.59,0.70,0.11,0.49,0.00,0.92,0.00,0.00,0.00,0.00,0.54,0.27,0.00,0.32,0.27,0.11,0.05,0.92,0.11,0.05,0.00,0.16,0.86,0.00,0.16,0.00,0.49,0.05,0.05,0.00,0.49,0.00,1.35,0.00,0.00,1.57,0.76,0.22,0.11,0.00,0.22,1.08,0.11,0.05,0.00,0.22,0.00,0.05,0.43,0.00,0.27,0.00,0.00,0.70,0.00,0.00,0.16,0.00,0.00,0.65,0.76,0.27,0.00,0.00,0.76,0.59,0.22,0.00,1.08,0.00,0.76,0.05,0.00,0.00,0.27,0.00,0.70,0.00,0.05,0.32,0.05,0.00,0.65,0.00
15/v,9.15,3.94,6.28,2.66,4.15,1.91,1.28,2.87,0.74,0.53,2.02,0.11,4.47,5.74,2.77,1.49,0.64,1.17,0.00,0.32,0.21,0.96,0.85,0.53,0.74,0.00,1.91,0.32,1.49,0.00,0.64,0.53,0.64,1.17,1.38,0.11,0.32,0.00,0.64,0.00,0.00,3.19,1.49,0.96,0.74,1.06,1.17,0.64,0.43,0.64,0.32,0.00,2.02,0.00,0.43,0.21,0.21,0.00,0.11,0.00,0.21,0.53,0.00,0.11,0.74,0.64,0.96,0.11,0.53,0.11,0.43,0.00,0.11,0.11,0.43,0.74,0.21,0.11,0.00,0.43,0.85,0.43,0.21,0.00,0.85,0.00,0.53,0.00,0.00,1.60,0.00,0.00,0.00,0.21,0.85,0.21,0.21,0.32,0.00,0.00,0.00,0.00,0.00,0.11,0.32,0.21,0.11,0.53,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.43,0.11,0.43,0.11,0.00,0.00,0.32,0.00,0.11,0.21,0.00,0.00,0.00,0.53,0.21,0.64,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.11,0.21,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.11,0.00,0.21,0.21,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00
13/iv,3.52,5.93,5.65,2.50,3.61,1.02,1.11,1.58,0.37,0.65,1.30,0.09,0.83,2.41,1.39,2.22,0.56,2.13,1.20,1.30,0.28,1.20,0.83,0.65,0.83,1.11,0.65,0.09,0.37,0.28,1.11,0.65,0.37,0.28,0.19,0.00,0.28,0.00,1.02,0.00,0.00,1.11,0.93,1.30,0.46,0.83,0.19,0.74,0.46,1.67,0.09,0.56,0.83,0.19,1.20,0.56,0.28,0.65,0.28,0.00,0.65,0.19,0.19,0.19,0.65,0.56,0.28,0.19,0.09,0.65,1.20,0.09,0.09,0.00,0.37,0.00,0.00,0.00,0.00,0.28,0.83,1.67,0.28,1.11,0.00,0.37,1.02,0.09,0.28,0.37,0.00,0.19,0.28,0.09,0.19,0.19,0.37,0.37,0.19,0.19,0.09,0.28,0.00,0.19,0.37,0.28,0.74,0.65,0.00,0.28,0.28,0.19,0.19,0.00,0.00,0.19,0.00,0.00,0.93,0.00,0.09,0.28,0.00,0.56,0.09,0.00,0.09,0.00,0.00,0.28,0.37,1.20,0.83,0.37,0.09,0.46,0.74,0.00,0.09,0.09,0.56,0.00,0.00,0.65,0.09,0.09,0.00,0.56,0.09,0.00,0.00,0.09,0.00,0.00,0.56,0.19,0.28,0.00,0.28,0.09,0.19,0.00,0.37,0.00,0.28,0.09,0.09,0.19,0.93,0.28,0.28,0.28,0.28,0.28,0.56,0.28,0.00,1.67,0.09,0.00,0.00,0.00,0.09,0.00,0.37,0.09,0.00,0.09,0.37,0.37,0.00,0.00,0.19,0.00,0.00,0.00,0.09,1.02,0.00,0.00,0.56,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00
14/iii,2.61,2.10,3.23,2.21,2.25,0.29,0.54,0.73,0.22,0.44,0.33,0.29,1.49,1.81,2.18,1.81,0.51,0.80,0.40,0.76,0.40,1.02,0.62,0.54,0.98,0.47,0.18,0.22,0.25,0.22,0.69,0.11,0.04,0.07,0.04,0.04,0.11,0.04,0.33,0.00,0.00,1.96,1.38,1.12,0.87,1.96,0.36,0.40,0.22,1.67,0.51,0.62,0.51,0.15,0.36,0.62,0.07,0.04,0.04,0.04,0.40,0.07,0.04,0.18,0.18,0.62,0.04,0.11,0.29,0.33,0.33,0.00,0.04,0.36,0.15,0.04,0.00,0.00,0.11,1.02,1.02,0.98,0.76,0.80,0.11,0.54,1.12,0.91,0.04,0.15,1.38,0.40,0.83,0.15,0.07,0.22,0.40,0.00,0.29,0.18,0.25,0.40,0.18,0.00,0.69,0.15,0.15,0.04,0.00,0.22,0.04,0.00,0.04,0.00,0.00,0.11,0.00,0.04,0.15,0.33,0.15,0.25,0.25,0.29,0.04,0.00,0.00,0.00,0.00,1.60,0.54,1.05,0.91,0.58,0.18,0.62,0.15,0.76,0.44,0.04,0.22,0.04,1.45,0.18,0.18,0.44,0.11,0.25,0.00,0.73,0.00,0.15,0.11,0.00,0.44,0.07,0.11,0.15,0.29,0.00,0.00,0.00,0.04,0.00,0.00,0.07,0.04,1.70,0.47,0.11,0.47,0.69,0.25,0.18,0.47,0.40,0.00,0.29,0.44,0.25,0.18,0.22,0.33,0.15,0.04,0.22,0.94,0.00,0.40,0.04,0.00,0.00,0.18,0.15,0.00,0.00,1.38,0.65,1.49,0.15,0.69,0.69,0.33,0.00,0.07,0.04,1.23,0.07,2.18,0.18,2.86,1.34,0.22,0.00,3.44,0.00
14/vi,3.60,1.75,3.09,2.52,2.87,0.00,0.10,0.29,0.19,0.13,0.29,0.10,2.46,1.15,1.75,1.66,0.83,0.57,0.03,0.13,0.29,1.28,0.70,0.16,0.51,0.80,0.45,0.10,0.51,0.03,0.26,0.61,0.03,0.00,0.03,0.00,0.03,0.00,0.38,0.00,0.00,1.47,0.89,0.64,2.33,1.34,0.48,0.13,0.26,1.63,0.51,0.22,0.83,0.03,0.41,0.06,0.16,0.03,0.00,0.00,0.48,0.00,0.03,0.00,0.61,0.70,0.00,0.06,0.19,0.13,0.19,0.00,0.16,0.00,0.00,0.03,0.00,0.00,0.06,2.39,0.77,1.47,0.29,0.38,0.51,0.19,3.16,0.06,0.00,0.16,1.47,0.51,0.10,0.10,0.06,0.00,0.41,0.03,0.19,0.51,0.22,0.35,0.06,0.00,0.45,0.19,0.41,0.00,0.03,0.13,0.00,0.00,0.03,0.00,0.00,0.06,0.03,0.00,0.16,0.32,0.16,0.00,0.00,0.06,0.00,0.13,0.00,0.00,0.00,1.24,1.95,1.44,0.61,0.10,0.00,1.12,0.03,2.42,0.06,0.00,0.35,0.03,0.41,1.66,0.67,0.64,0.16,0.29,0.45,0.29,0.06,0.03,0.00,0.00,0.06,0.13,0.00,0.03,0.00,0.35,0.06,0.00,0.06,0.00,0.00,0.00,0.00,1.95,1.21,0.29,0.32,0.38,0.48,0.70,0.22,0.10,0.00,0.35,0.29,0.96,0.19,0.00,0.57,0.06,0.29,0.35,0.54,0.00,0.00,0.10,0.22,0.13,0.00,0.00,0.06,0.13,2.42,2.39,1.24,0.00,0.38,0.83,0.32,0.48,0.38,0.13,0.83,0.00,3.67,0.03,1.44,0.38,0.45,0.06,0.67,0.00
14/v,2.31,0.85,2.65,2.42,1.19,0.15,0.54,0.50,0.27,0.35,0.15,0.27,1.15,0.92,1.42,1.35,0.62,0.81,0.12,0.15,0.08,0.88,0.85,0.42,0.62,0.58,0.23,0.08,0.12,0.04,0.38,0.08,0.08,0.08,0.04,0.12,0.00,0.08,0.19,0.08,0.12,1.19,0.69,1.12,0.65,0.65,0.15,0.50,0.23,1.38,0.50,0.04,0.88,0.23,0.54,0.15,0.15,0.12,0.15,0.08,0.15,0.00,0.50,0.15,0.27,0.46,0.27,0.00,0.19,0.15,0.19,0.00,0.04,0.08,0.04,0.00,0.00,0.04,0.92,0.77,0.54,1.50,0.19,1.04,0.12,0.73,0.27,0.23,0.19,0.19,0.50,0.23,0.04,0.12,0.42,0.04,0.19,0.15,0.35,0.50,0.58,0.15,0.42,0.31,0.50,0.35,0.12,0.04,0.00,0.35,0.00,0.04,0.08,0.00,0.00,0.00,0.15,0.00,0.65,0.04,0.00,0.04,0.35,0.04,0.15,0.04,0.00,0.04,0.00,1.04,0.38,0.85,0.42,0.35,0.77,0.62,0.04,0.81,0.50,0.42,0.19,0.42,0.12,0.46,0.31,0.38,0.19,0.19,0.19,0.46,0.35,0.00,0.08,0.00,0.69,0.00,1.23,0.00,0.00,0.04,0.00,0.00,0.12,0.00,0.04,0.19,0.23,1.23,1.00,1.58,0.73,0.62,0.50,1.62,0.12,0.31,0.00,0.35,0.46,0.50,0.31,0.58,0.31,0.00,0.00,0.12,0.92,0.00,0.27,0.00,0.00,0.00,0.27,0.12,0.00,0.00,2.08,1.19,4.42,0.46,2.65,0.38,0.08,0.73,0.04,0.46,0.35,0.00,4.04,0.38,0.77,2.42,0.77,0.00,4.58,1.31
14/ii,1.87,1.51,2.89,2.55,2.43,0.19,0.41,0.51,0.15,0.29,0.73,0.12,1.02,0.63,1.34,1.00,0.56,0.68,0.61,0.32,0.27,1.46,0.32,0.83,0.61,1.12,0.22,0.10,0.34,0.17,0.75,0.34,0.07,0.22,0.05,0.02,0.07,0.02,0.36,0.02,0.00,0.88,0.56,1.48,0.90,0.90,0.10,0.32,0.34,1.43,0.19,0.05,0.83,0.05,0.22,0.32,0.24,0.12,0.00,0.02,0.44,0.05,0.24,0.32,0.41,0.80,0.02,0.29,0.83,0.32,0.41,0.17,0.12,0.10,0.17,0.00,0.05,0.00,0.17,0.85,0.75,1.31,0.24,0.83,0.15,0.05,0.92,0.19,0.05,0.32,0.27,0.29,0.27,0.19,0.00,0.17,0.66,0.05,0.41,0.29,2.24,0.27,0.02,0.10,0.36,0.24,0.34,0.10,0.10,0.80,0.02,0.10,0.07,0.00,0.05,0.10,0.12,0.05,0.41,0.17,0.00,0.00,0.27,0.02,0.17,0.02,0.02,0.00,0.00,1.00,0.85,0.61,1.22,0.15,0.32,0.92,0.15,0.63,0.49,0.15,0.02,0.10,0.58,0.80,0.22,0.36,0.10,0.36,0.00,1.05,0.10,0.10,0.44,0.00,0.53,0.12,0.39,0.32,0.05,0.32,0.12,0.02,0.29,0.02,0.07,0.00,0.05,4.25,1.48,0.83,0.95,0.17,0.29,1.31,0.61,0.46,0.00,0.88,0.19,0.19,0.24,0.05,0.61,0.00,0.05,0.17,0.53,0.00,0.41,0.12,0.05,0.00,0.32,0.32,0.00,0.02,2.19,1.65,2.24,0.29,1.85,0.02,0.61,0.17,0.17,0.34,0.22,0.02,2.87,1.24,0.10,0.92,0.27,0.17,1.68,0.00
14/i,2.59,2.18,2.62,2.27,2.37,0.19,0.38,0.45,0.06,0.38,0.45,0.03,1.25,1.25,1.73,1.06,0.61,0.77,0.64,0.42,0.51,1.09,0.64,0.45,0.26,0.86,0.22,0.13,0.61,0.10,0.45,0.35,0.03,0.00,0.00,0.00,0.10,0.03,0.16,0.06,0.00,1.22,0.70,0.70,0.61,1.06,0.35,0.22,0.22,1.41,0.42,0.19,0.96,0.06,0.51,0.48,0.13,0.42,0.00,0.06,1.31,0.03,0.03,0.26,0.80,0.32,0.00,0.13,0.22,0.03,0.16,0.06,0.06,0.22,0.03,0.00,0.03,0.00,0.16,1.02,0.26,0.83,0.06,1.12,0.13,0.19,3.20,0.13,0.06,0.38,0.64,0.29,0.19,0.58,0.00,0.13,0.16,0.00,0.61,0.70,0.32,0.19,0.00,0.13,0.16,0.19,0.32,0.13,0.13,0.58,0.06,0.06,0.03,0.00,0.03,0.10,0.06,0.13,0.22,0.03,0.03,0.16,0.13,0.03,0.00,0.10,0.00,0.00,0.00,1.73,0.26,0.35,1.38,0.00,0.16,2.50,0.10,1.28,0.38,0.38,0.19,0.00,0.19,0.80,0.54,0.29,0.16,0.51,0.13,0.13,0.16,0.00,0.10,0.00,0.10,0.35,0.13,0.03,0.10,0.26,0.26,0.03,0.10,0.00,0.03,0.19,0.03,1.02,0.51,0.42,0.74,0.13,0.29,2.11,0.32,0.51,0.00,0.77,0.42,0.19,0.99,0.38,0.06,0.03,0.13,0.06,0.22,0.00,0.00,0.51,0.00,0.00,0.35,0.06,0.00,0.10,1.79,0.54,2.75,0.03,0.16,0.22,1.18,0.70,0.32,0.29,0.64,0.00,2.24,0.29,2.69,0.86,0.70,0.32,4.19,1.02
